issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
findings-2,Unable to set to check consecutive parameters,findings-2,primary,Satisfactory,https://github.com/code-423n4/2024-10-kleidi/blob/ab89bcb443249e1524496b694ddb19e298dca799/src/Timelock.sol#L1119-L1123,169,:robot:_primary
findings-4,Guardian can be DoSed by submitting many transactions at once,findings-4,primary,Satisfactory,https://github.com/code-423n4/2024-10-kleidi/blob/main/src/Timelock.sol#L687,54,:robot:_primary
findings-5,Attackers that have compromised signer keys can financially overwhelm the protocol to take it over,findings-5,primary,Satisfactory,https://github.com/code-423n4/2024-10-kleidi/blob/main/src/Timelock.sol#L521,31,:robot:_19_group
validation-102,Unrestricted Call Operations in Guard.sol, ,insufficient proof,Unsatisfactory,,207,:robot:_54_group
validation-104,Insecure Signature Generation in InstanceDeployer.sol, ,insufficient proof,Unsatisfactory,,145,:robot:_33_group
validation-105,Improper Signature Verification in RecoverySpell.sol, ,insufficient proof - spamming - not validating further,Unsatisfactory,,98,:robot:_102_group
validation-106,Use of Undefined EVM Opcodes in RecoverySpell.sol, ,insufficient proof,Unsatisfactory,,105,:robot:_primary
validation-107, Reentrancy Attack via Improper State Update in Timelock.sol, ,insufficient proof,Unsatisfactory,,189,:robot:_13_group
validation-109,Executing Recovery Operations on Certain EVM Chains will Fail, ,"the protocol will be deployed on Arbitrum,Ethereum,Optimism,Base - https://github.com/code-423n4/2024-10-kleidi?tab=readme-ov-file#general-questions",Unsatisfactory,,59,:robot:_primary
validation-111,The removeCalldataCheckDatahash function may fail to be called, ,insufficient proof,Unsatisfactory,,45,:robot:_02_group
validation-112,"There are flaws in the _removeCalldataCheck logic, resulting in data residue. Eventually, there will be unexpected calldata that can be called.", ,the submission does not refer to a specific vulnerabilitry and remains vague,Unsatisfactory,,88,:robot:_02_group
validation-113,Expiration Period Bypass Allows Execution of Expired Operations, ,insufficient proof,Unsatisfactory,,45,:robot:_11_group
validation-114,Reentrancy in Batch Execution Allows DoS, ,insufficient proof,Unsatisfactory,,51,:robot:_13_group
